Lot NO,Melt No,Melt Denier,Melt g/den,Melt (%),Melt (gf),Melt Weight(g),Melt temp,Pack Press (psi),"1 G/R Speed
(mpm)","Batch
No.","Spool
No.",Coating Straight,"Coating
EP","Coating
USP","Coating
Knot security","Coating
Diameter","Coating
Tie-down",Fast 1W Avg,Fast 1W Min ,Fast 1W %,Moisture
TSSR12210V014,1,90.7,8.106,33.95,735,"1,342",264.2,"1,594",460,1st,27,13.6,8.07,7.46,6.91,0.484,1.02,5.84,5.57,72%,68
,2,90.5,7.57,30.05,685,"1,340",264.2,"1,595",460,2nd,59,,8.25,,6.68,0.488,,6.27,6.08,76%,62
,3,90.5,7.687,28.68,696,"1,338",264.1,"1,564",460,3rd-1,73,,7.78,,6.34,0.482,,6.19,5.84,80%,79
,4,90.3,7.656,32.26,691,"1,329",264.1,"1,565",460,3rd-2,91,,7.88,,6.92,0.481,,5.71,5.63,72%,
,5,90,7.87,32.66,709,"1,334",264.1,"1,594",460,4th,113,,7.92,,6.68,0.483,,6.24,5.9,79%,
,6,90,8.046,32.63,724,"1,321",264.1,"1,600",465,,,,,,,,,,,,
,7,90,7.678,30.55,691,"1,317",264,"1,615",465,,,,,,,,,,,,
,8,90.5,7.676,35.43,695,"1,320",264,"1,630",460,,,,,,,,,,,,
,9,90,8.183,31.59,737,"1,308",264.2,"1,645",455,,,,,,,,,,,,
,10,90.5,7.644,31.25,692,"1,331",264,"1,652",455,,,,,,,,,,,,
,11,90.3,8.104,28.81,732,"1,328",264,"1,650",455,,,,,,,,,,,,
,12,90.1,7.592,30.04,684,"1,320",264,"1,672",455,,,,,,,,,,,,
,13,90.2,8.556,31.71,771,"1,325",264,"1,682",455,,,,,,,,,,,,
,14,90.1,7.786,31.07,702,"1,324",264,"1,694",455,,,,,,,,,,,,
,15,90,8.2,32.3,738,"1,325",264.2,"1,700",455,,,,,,,,,,,,
,16,90,7.768,32.36,699,"1,315",264.1,"1,701",455,,,,,,,,,,,,
,17,90.5,8.044,28.12,728,"1,325",264,"1,710",455,,,,,,,,,,,,
,18,90,7.767,29.94,699,"1,326",264.1,"1,714",455,,,,,,,,,,,,
,19,90,8.406,34.8,757,"1,322",264,"1,720",455,,,,,,,,,,,,
,20,90.2,7.965,33.26,718,"1,315",264,"1,711",455,,,,,,,,,,,,
,21,90,7.816,30.3,703,"1,312",264,"1,721",455,,,,,,,,,,,,
TSSR12210V015,1,90,7.539,34.12,679,"1,271",269.4,"1,635",475,1st,2,13.07,7.83,7.33,7.56,0.476,0.81,5.74,5.32,73%,81
,2,90,7.839,35.14,706,"1,371",,,,2nd,34,,7.82,,6.69,0.485,,5.87,5.55,75%,38
,3,90.5,7.62,30.86,689,447,269.4,"1,676",475,3rd-1,45,,7.95,,6.69,0.483,,6.01,5.68,76%,39
,4,90.5,7.936,33.01,718,426,,,,3rd-2,66,,8.15,,6.73,0.481,,6.02,5.7,74%,
,5,90,7.899,29.36,711,"1,343",269.5,"1,716",475,4th,98,,8,,7.06,0.491,,6.26,6,78%,
,6,90.5,7.909,28.99,716,"1,349",,,,5th,111,,7.95,,7.06,0.494,,6.26,6.08,79%,
,7,91,8.008,31.76,721,"1,345",269.4,"1,721",475,,,,,,,,,,,,
,8,91.5,8.104,32.93,741,"1,343",,,,,,,,,,,,,,,
,9,90.5,7.818,32.22,708,522,269.4,"1,725",475,,,,,,,,,,,,
,10,90,7.926,33.97,713,486,,,,,,,,,,,,,,,
,11,90.7,7.587,33.73,688,"1,338",269.4,"1,724",485,,,,,,,,,,,,
,12,90.7,7.593,32.39,688,"1,335",,,,,,,,,,,,,,,
,13,91,7.647,31.55,696,"1,339",269.4,"1,722",485,,,,,,,,,,,,
,14,91,7.893,32.09,718,"1,339",,,,,,,,,,,,,,,
,15,92,7.992,38.88,735,"1,342",269.5,"1,738",485,,,,,,,,,,,,
,16,88,7.762,33.15,683,"1,324",,,,,,,,,,,,,,,
,17,91,7.69,38.03,700,"1,342",269.5,"1,738",485,,,,,,,,,,,,
,18,90.5,7.528,35.95,681,"1,318",,,,,,,,,,,,,,,
,19,91,7.599,39.07,692,"1,350",269.5,"1,725",485,,,,,,,,,,,,
,20,90.5,7.723,37.22,699,"1,322",,,,,,,,,,,,,,,
,21,90,7.734,34.92,696,"1,350",269.5,"1,750",480,,,,,,,,,,,,
,22,90.5,7.769,35.42,704,"1,328",,,,,,,,,,,,,,,
,23,90.3,8.128,38.23,734,"1,347",270,"1,767",475,,,,,,,,,,,,
,24,90.3,7.892,34.09,713,"1,324",,,,,,,,,,,,,,,
,25,90.5,8.061,34.39,730,762,270,"1,765",475,,,,,,,,,,,,
,26,90,8.331,31.41,750,751,,,,,,,,,,,,,,,
TSSR12211G001,1,91.5,8.742,29.95,800,232,258.9,"1,250",440,1st-1,4,14.34,8.57,7.61,7.7,0.495,0.75,6.59,6.32,77%,58
,2,90.2,8.115,30.02,732,"1,347",259,"1,253",450,1st-2,26,,8.42,,7.34,0.487,,6.49,6.22,77%,
,3,90.8,8.699,30.82,790,"1,347",259.1,"1,347",450,2nd-1,40,,8.61,,7.26,0.499,,6.88,6.7,80%,
,4,91,8.111,28.55,738,"1,347",259.3,"1,366",450,2nd-2,49,,8.16,,7.26,0.489,,7.01,6.8,86%,
,5,91,7.903,28.2,719,"1,345",259.3,"1,375",450,,,,,,,,,,,,
,6,91.5,7.526,30.74,689,"1,344",259.4,"1,378",450,,,,,,,,,,,,
,7,91,8.023,28.68,730,"1,343",259.4,"1,390",450,,,,,,,,,,,,
,8,91,8.352,30.3,760,"1,342",259.4,"1,384",450,,,,,,,,,,,,
,9,90.7,7.95,30.65,721,"1,346",259.4,"1,394",450,,,,,,,,,,,,
,10,91,8.13,25.53,740,"1,115",259.4,"1,390",450,,,,,,,,,,,,
TSSR12211V001,1,91,7.947,38.45,723,"1,189",270.1,"1,788",475,1st,2,13.44,7.83,7.61,7.21,0.479,0.91,6.05,5.89,77%,66
,2,90,7.809,34.35,703,"1,318",,,,2nd-1,16,,7.87,,6.88,0.476,,6.18,5.52,79%,74
,3,91,7.803,37.2,710,587,270,"1,695",475,2nd-2,34,,8.14,,7.59,0.485,,5.9,5.53,72%,96
,4,90.5,8.132,36.68,736,580,,,,3rd,66,,8.24,,7.03,0.476,,5.77,5.55,70%,
,5,92,7.932,38.55,729,"1,358",270,"1,700",470,4th,98,,8.04,,6.99,0.483,,5.92,5.85,74%,
,6,90,7.851,32.76,707,"1,310",,,,5th-1,120,,8.14,,7.27,0.491,,6.17,5.64,76%,
,7,90.5,7.938,32.14,718,"1,354",270,"1,700",460,5th-2,126,,7.97,,7.12,0.484,,6.02,5.76,76%,
,8,91,8.187,31.86,745,"1,334",,,,,,,,,,,,,,,
,9,91.5,8.07,27.3,738,"1,352",270,"1,715",460,,,,,,,,,,,,
,10,90.5,7.917,34.32,716,"1,331",,,,,,,,,,,,,,,
,11,91.5,7.759,35.3,710,"1,350",270.2,"1,722",460,,,,,,,,,,,,
,12,90,7.867,32.71,708,"1,331",,,,,,,,,,,,,,,
,13,91.5,8.025,30.97,734,"1,351",270.1,"1,723",460,,,,,,,,,,,,
,14,90,8.443,34.2,760,"1,332",,,,,,,,,,,,,,,
,15,90.6,7.508,32.6,680,"1,351",270.4,"1,725",460,,,,,,,,,,,,
,16,90,8.08,32.41,727,"1,329",,,,,,,,,,,,,,,
,17,91,7.686,34.24,699,"1,348",270.1,"1,747",460,,,,,,,,,,,,
,18,90,7.734,34.3,696,"1,325",,,,,,,,,,,,,,,
,19,90.5,8.155,34.3,738,"1,345",270,"1,770",460,,,,,,,,,,,,
,20,90.5,7.657,34.59,693,"1,321",,,,,,,,,,,,,,,
,21,90.5,7.993,29.28,723,"1,343",270,"1,775",460,,,,,,,,,,,,
,22,90.5,7.628,30.22,690,"1,322",,,,,,,,,,,,,,,
,23,90.5,7.989,29.39,723,"1,342",270.2,"1,768",460,,,,,,,,,,,,
,24,90,7.585,32.32,683,"1,321",,,,,,,,,,,,,,,
TSSR12211V002,1,90.5,7.952,33.73,719,"1,342",269.7,"1,881",460,1st,2,12.68,7.55,7.1,6.85,0.475,0.74,5.4,4.99,72%,70
,2,90,8.419,35.11,758,"1,320",,,,2nd,34,,8.06,,6.84,0.482,,5.84,5.67,72%,71
,3,90.5,7.896,35.47,715,"1,335",269.7,"1,890",460,3rd,66,,7.71,,6.63,0.476,,5.39,5.1,70%,127
,4,90,8.12,24.03,730,"1,321",,,,4th-1,76,,7.66,,6.76,0.458,,5.5,5.17,72%,
,5,91,8.103,33.26,737,"1,339",269.8,"1,892",455,4th-2,98,,8.24,,7.37,0.49,,5.88,5.6,71%,
,6,90,7.699,32.82,693,"1,318",,,,5th,130,,7.95,,6.95,0.48,,5.91,5.47,74%,
,7,90.4,7.635,31,691,"1,321",269.8,"1,876",460,,,,,,,,,,,,
,8,90,7.693,33.16,692,"1,305",,,,,,,,,,,,,,,
,9,89.5,7.727,32.49,692,"1,292",269.8,"1,881",460,,,,,,,,,,,,
,10,89.5,7.666,31.58,686,"1,287",,,,,,,,,,,,,,,
,11,90,7.528,33.38,678,"1,323",274.8,"1,712",460,,,,,,,,,,,,
,12,90,7.583,33.45,683,"1,316",,,,,,,,,,,,,,,
,13,89,7.613,32.94,678,"1,304",274.8,"1,710",460,,,,,,,,,,,,
,14,89,7.934,31.34,706,"1,300",,,,,,,,,,,,,,,
,15,89,8.109,35.12,722,"1,286",274.8,"1,750",460,,,,,,,,,,,,
,16,89,7.842,35.32,698,"1,275",,,,,,,,,,,,,,,
,17,90.5,7.744,32.6,701,"1,345",275.2,"1,589",450,,,,,,,,,,,,
,18,90.5,8.376,31.97,758,"1,337",,,,,,,,,,,,,,,
,19,90.5,7.708,30.36,697,"1,339",275.2,"1,591",450,,,,,,,,,,,,
,20,90.5,7.725,30.69,699,"1,343",,,,,,,,,,,,,,,
,21,90,7.787,27.93,701,"1,346",275.1,"1,600",450,,,,,,,,,,,,
,22,90,7.688,29.91,692,"1,338",,,,,,,,,,,,,,,
,23,91,7.574,32.26,689,"1,356",275.1,"1,661",450,,,,,,,,,,,,
,24,90.6,8.272,32.93,749,"1,348",,,,,,,,,,,,,,,
TSSR12211V003,1,91,8.015,30.34,729,"1,352",275,"1,671",450,1st,2,13.57,8.33,7.09,6.98,0.499,1.02,5.86,5.52,70%,78
,2,90.5,8.493,31.88,768,"1,342",,,,2nd,34,,7.99,,7.04,0.485,,6.39,6.2,80%,90
,3,91.5,8.138,33.27,745,"1,349",275.1,"1,709",460,3rd-1,44,,8.84,,6.75,0.499,,6.36,6.01,72%,60
,4,90.3,8.163,33.88,737,"1,344",,,,3rd-2,58,,8.53,,7.26,0.493,,6.21,5.86,73%,
,5,90.5,7.86,36.68,712,"1,346",274.6,"1,710",460,4th-1,82,,8.06,,6.74,0.484,,6.28,6,78%,
,6,91,7.712,33.73,701,"1,340",,,,4th-2,104,,8.17,,6.31,0.483,,6.3,6.16,77%,
,7,92,8.125,37.09,747,872,274.7,"1,694",460,5th,112,,7.91,,6.92,0.48,,5.98,5.58,76%,
,8,90.8,7.834,34.52,712,873,,,,,,,,,,,,,,,
,9,91.8,7.743,32.3,711,"1,371",275.1,"1,701",460,,,,,,,,,,,,
,10,90.7,7.874,36.6,714,"1,365",,,,,,,,,,,,,,,
,12,91.2,8.038,32.93,733,355,,,,,,,,,,,,,,,
,13,90.5,7.778,33.59,704,369,275,"1,700",455,,,,,,,,,,,,
,14,90.5,7.618,33.45,689,372,,,,,,,,,,,,,,,
,15,91.3,8.164,37.09,745,"1,344",275.4,"1,725",455,,,,,,,,,,,,
,16,90.3,8.194,33.18,740,"1,336",,,,,,,,,,,,,,,
,17,90.5,7.645,29.8,692,"1,338",275,"1,733",455,,,,,,,,,,,,
,18,90.5,8.254,30.41,747,"1,330",,,,,,,,,,,,,,,
,19,90.5,8.414,33.55,762,"1,340",275,"1,711",455,,,,,,,,,,,,
,20,91,8.005,31.47,729,"1,330",,,,,,,,,,,,,,,
,21,90.5,8.091,32.53,732,"1,335",275,"1,715",455,,,,,,,,,,,,
,22,90,7.703,34.6,693,"1,326",,,,,,,,,,,,,,,
,23,90,7.922,31.45,713,"1,337",274.3,"1,713",455,,,,,,,,,,,,
,24,89,8.134,31.35,724,"1,328",,,,,,,,,,,,,,,
,25,90.5,7.65,33.24,692,"1,345",274.5,"1,716",455,,,,,,,,,,,,
,26,90,8.567,35.66,771,"1,337",,,,,,,,,,,,,,,
TSSR12211V004,1,90.5,7.663,32.41,694,"1,350",274.5,"1,720",455,1st,6,12.81,7.77,7.04,6.56,0.481,1.25,5.43,5.08,70%,96
,2,90.5,7.677,32.74,695,"1,342",,,,2nd-1,22,,8,,6.83,0.476,,5.99,5.7,75%,183
,3,90.5,7.79,33.24,705,"1,348",274.5,"1,756",455,2nd-2,38,,8.15,,7.45,0.477,,5.96,5.55,73%,90
,4,90,8.099,34.01,729,"1,338",,,,3rd-1,70,,7.88,,7.01,0.478,,6.39,6.03,81%,
,5,89,8.218,34.64,731,"1,319",274.3,"1,781",485,3rd-2,76,,7.98,,6.99,0.481,,6.28,6.02,79%,
,6,89,8.452,33.87,753,"1,314",,,,4th,94,,7.99,,7.33,0.491,,6.17,5.92,77%,
,7,90.2,8.493,34.82,766,"1,333",274.3,"1,814",485,5th-1,112,,8.02,,6.68,0.473,,6.26,5.85,78%,
,8,90.2,7.909,33.91,714,"1,328",,,,5th-2,126,,8.24,,7.03,0.481,,6.36,6.03,77%,
,9,90.5,8.084,35.64,732,"1,336",274.3,"1,819",485,,,,,,,,,,,,
,10,90,7.959,38.01,716,"1,329",,,,,,,,,,,,,,,
,11,91,7.619,37.13,694,"1,336",274.3,"1,799",485,,,,,,,,,,,,
,12,90,7.803,32.2,702,"1,329",,,,,,,,,,,,,,,
,13,90,8.005,32.82,720,"1,328",274.5,"1,836",485,,,,,,,,,,,,
,14,90.5,8.006,31.99,725,"1,336",,,,,,,,,,,,,,,
,15,90,8.103,33.76,729,"1,328",274.5,"1,854",485,,,,,,,,,,,,
,16,90,7.794,34.2,701,"1,335",,,,,,,,,,,,,,,
,17,90.5,7.948,32.8,719,"1,334",274.5,"1,854",485,,,,,,,,,,,,
,18,90,7.959,31.07,716,"1,327",,,,,,,,,,,,,,,
,19,90.7,7.861,35.2,713,"1,326",274.5,"1,860",485,,,,,,,,,,,,
,20,90.4,7.778,32.98,703,"1,324",,,,,,,,,,,,,,,
,21,90.3,8.099,35.64,732,"1,253",274.5,"1,868",485,,,,,,,,,,,,
,22,90.4,7.8,34.18,705,"1,126",,,,,,,,,,,,,,,
,23,90,8.098,35.91,729,597,274.8,"1,870",490,,,,,,,,,,,,
TSSR12211V005,1,90,7.708,33.72,694,"1,325",274.4,"1,554",465,1st,18,13.57,8.35,7.41,7.07,0.486,0.77,5.97,5.73,71%,41
,2,91,7.769,33.01,707,"1,348",,,,2nd-1,40,,8.14,,7.13,0.49,,6.18,6.07,76%,33
,3,90,7.929,34.2,714,"1,323",274.4,"1,574",465,2nd-2,58,,8.48,,7.22,0.486,,6.18,6.04,73%,32
,4,90.5,7.538,32.37,682,"1,347",,,,3rd,90,,8.41,,7.15,0.492,,5.65,5.33,67%,
,5,91.5,8.163,30.32,747,"1,359",274.2,"1,450",425,4th,122,,7.96,,7.23,0.494,,5.8,5.55,73%,
,6,91.5,7.9,28.26,722,"1,371",,,,,,,,,,,,,,,
,7,91.5,7.928,32.51,725,"1,366",274.2,"1,418",425,,,,,,,,,,,,
,8,91.5,7.628,33.95,698,"1,374",,,,,,,,,,,,,,,
,9,91,8.122,30.53,739,"1,358",274.2,"1,410",430,,,,,,,,,,,,
,10,91,8.02,28.95,730,"1,365",,,,,,,,,,,,,,,
,11,90.5,7.682,28.97,695,"1,340",274.3,"1,411",430,,,,,,,,,,,,
,12,91.5,8.622,30.21,788,"1,347",,,,,,,,,,,,,,,
,13,91,7.968,29.91,725,"1,346",274.3,"1,405",430,,,,,,,,,,,,
,14,91,8.046,31.37,732,"1,335",,,,,,,,,,,,,,,
,15,91.3,8.458,31.02,772,"1,346",274.2,"1,400",430,,,,,,,,,,,,
,16,92,8.771,29.99,807,"1,351",,,,,,,,,,,,,,,
,17,91.5,8.447,30.2,773,"1,333",274.3,"1,396",430,,,,,,,,,,,,
,18,90.5,8.486,31.57,768,"1,344",,,,,,,,,,,,,,,
,19,91,8.948,28.79,814,855,274,"1,389",430,,,,,,,,,,,,
,20,91,8.482,29.36,771,713,,,,,,,,,,,,,,,
,21,91,7.708,34.22,701,"1,352",274,"1,375",440,,,,,,,,,,,,
,22,91,7.884,28.97,717,"1,350",,,,,,,,,,,,,,,
,23,90.5,7.71,34.1,698,698,274,"1,374",440,,,,,,,,,,,,
,24,90.5,7.914,30.97,716,709,,,,,,,,,,,,,,,
TSSR12211V006,1,90.5,7.875,33.15,712,"1,343",274.3,"1,377",440,1st,4,13.08,7.98,7.55,6.96,0.479,1.02,5.64,5.4,71%,60
,2,90.5,7.96,29.66,720,"1,348",,,,2nd-1,10,,7.98,,6.93,0.485,,5.8,5.54,73%,51
,3,90.3,8.355,33.76,754,"1,339",274.2,"1,375",440,2nd-2,30,,8.04,,7.05,0.485,,5.63,5.42,70%,59
,4,90,8.458,30,761,"1,341",,,,3rd,62,,8.07,,6.97,0.493,,6.25,5.77,77%,22
,5,90,7.82,32.95,704,"1,303",274.1,"1,387",450,4th,86,,8.34,,6.78,0.485,,5.97,5.6,72%,
,6,90,7.761,31.67,686,"1,328",,,,5th,108,,8.08,,6.89,0.486,,5.97,5.71,74%,
,7,90.5,7.829,35.58,709,"1,335",274.3,"1,391",450,,,,,,,,,,,,
,8,90.5,8.589,30.76,777,"1,336",,,,,,,,,,,,,,,
,9,91,7.684,34.01,699,"1,339",274.4,"1,390",450,,,,,,,,,,,,
,10,90,7.889,32.2,710,"1,341",,,,,,,,,,,,,,,
,11,90.8,7.614,28.04,683,"1,335",274.4,"1,369",450,,,,,,,,,,,,
,12,91.6,7.838,33.46,718,"1,332",,,,,,,,,,,,,,,
,13,90,7.901,34.49,711,"1,336",274.4,"1,361",455,,,,,,,,,,,,
,14,90,7.856,34.62,707,"1,338",,,,,,,,,,,,,,,
,15,90,7.829,33.68,705,"1,326",274.3,"1,360",455,,,,,,,,,,,,
,16,90.5,7.643,32.85,692,"1,333",,,,,,,,,,,,,,,
,17,90,7.722,33.87,695,"1,326",274.3,"1,349",445,,,,,,,,,,,,
,18,90,7.669,33.01,690,"1,332",,,,,,,,,,,,,,,
,19,90,8.021,33.91,721,"1,328",274.5,"1,357",445,,,,,,,,,,,,
,20,90,8.669,35.12,780,"1,330",,,,,,,,,,,,,,,
,21,90.5,8.565,31.57,775,"1,330",274,"1,360",445,,,,,,,,,,,,
,22,90.5,8.254,30.87,747,"1,335",,,,,,,,,,,,,,,
,23,90,7.941,30.43,715,"1,336",274.3,"1,328",445,,,,,,,,,,,,
,24,90.5,7.803,32.43,706,"1,341",,,,,,,,,,,,,,,
TSSR12211V007,1,90,7.573,33.46,682,720,274.2,"1,480",470,1st-1,8,14.18,8.47,7.25,7.08,0.495,0.71,6.34,5.7,75%,47
,2,91.5,8.202,35.57,750,742,,,,1st-2,18,,8.05,,7.11,0.488,,6.33,5.75,79%,37
,3,91.7,7.682,33.34,704,"1,367",274.4,"1,471",470,2nd,50,,8.44,,7.44,0.484,,6.28,6.14,74%,56
,4,90,7.855,30.78,707,"1,329",,,,3rd,82,,8.13,,7.45,0.488,,6.11,5.25,75%,54
,5,91.5,7.908,33.55,724,"1,350",274.4,"1,471",470,4th-1,94,,8.28,,7.57,0.495,,6.73,6.51,81%,
,6,90,7.657,30.07,689,"1,312",,,,4th-2,114,,8.16,,6.4,0.485,,6.1,5.71,75%,
,7,91,8.033,31.45,731,"1,355",274.4,"1,444",470,5th,128,,8.37,,7.31,0.487,,6.71,6.54,80%,
,8,90,8.102,32.02,729,"1,323",,,,,,,,,,,,,,,
,9,91.8,7.697,33.68,707,"1,349",274.4,"1,454",470,,,,,,,,,,,,
,10,90,7.739,32.9,697,"1,324",,,,,,,,,,,,,,,
,11,91.8,8.129,32.62,746,"1,360",274.4,"1,430",470,,,,,,,,,,,,
,12,90,8.068,32.69,726,"1,324",,,,,,,,,,,,,,,
,13,91,7.933,32.86,722,"1,362",274.4,"1,435",470,,,,,,,,,,,,
,14,90,7.869,30.84,708,"1,325",,,,,,,,,,,,,,,
,15,91.7,8.679,33.66,796,"1,356",274.4,"1,409",470,,,,,,,,,,,,
,16,90,8.47,34.78,762,"1,326",,,,,,,,,,,,,,,
,17,90.5,8.547,33.61,773,"1,357",274,"1,382",470,,,,,,,,,,,,
,18,90.5,7.977,29.88,722,"1,322",,,,,,,,,,,,,,,
,19,91,7.838,33.37,713,"1,356",274,"1,386",470,,,,,,,,,,,,
,20,90,7.947,31.76,715,"1,324",,,,,,,,,,,,,,,
,21,91.2,7.773,32.22,709,"1,354",274.3,"1,389",470,,,,,,,,,,,,
,22,90,7.991,29.91,719,"1,322",,,,,,,,,,,,,,,
,23,91.5,7.979,32.66,730,"1,353",274.1,"1,396",470,,,,,,,,,,,,
,24,90,8.272,31.55,745,"1,320",,,,,,,,,,,,,,,
TSSR12211V008,1,93,7.703,27.53,716,"1,385",274.2,"1,472",470,1st,26,13.82,8.23,7.46,7,0.48,1.31,6.29,5.95,76%,21
,2,88,8.226,27.51,724,"1,291",,,,2nd,58,,7.99,,6.75,0.478,,6.09,5.73,76%,76
,3,91.5,7.981,33.22,730,"1,351",274.3,"1,456",470,3rd-1,74,,8.26,,7.07,0.482,,6.77,6.64,82%,73
,4,90,7.796,28.6,702,"1,323",,,,3rd-2,90,,8.01,,7.14,0.481,,6.75,6.49,84%,
,5,91.5,7.744,35.32,709,"1,354",274.3,"1,470",470,4th,114,,7.91,,7.22,0.493,,6.34,6.26,80%,
,6,90,8.165,30.24,735,"1,326",,,,,,,,,,,,,,,
,7,91.5,7.959,37.39,728,"1,365",274.2,"1,480",470,,,,,,,,,,,,
,8,90,7.87,30.05,708,"1,340",,,,,,,,,,,,,,,
,9,91,7.708,29.6,701,"1,364",274.2,"1,478",465,,,,,,,,,,,,
,10,90,8.033,33.3,723,"1,334",,,,,,,,,,,,,,,
,11,91.5,7.574,34.45,693,"1,362",274.2,"1,485",465,,,,,,,,,,,,
,12,90.5,7.759,32.93,702,"1,333",,,,,,,,,,,,,,,
,13,91.7,7.716,29.87,708,"1,363",274.3,"1,465",465,,,,,,,,,,,,
,14,90.5,7.882,29.39,713,"1,332",,,,,,,,,,,,,,,
,15,91.7,7.579,34.72,695,"1,353",274.2,"1,477",465,,,,,,,,,,,,
,16,90,7.934,33.44,714,"1,330",,,,,,,,,,,,,,,
,17,90,8.938,34.01,804,"1,354",274.1,"1,254",465,,,,,,,,,,,,
,18,90,7.982,31.07,718,"1,327",,,,,,,,,,,,,,,
,19,91,7.519,31.37,684,"1,355",274.2,"1,230",460,,,,,,,,,,,,
,20,90,7.815,33.3,703,"1,358",,,,,,,,,,,,,,,
,21,91.3,7.971,32.43,728,"1,350",274.2,"1,237",460,,,,,,,,,,,,
,22,90,7.991,33.87,719,"1,319",,,,,,,,,,,,,,,
,23,91.5,8.177,35.32,748,269,274.1,"1,248",460,,,,,,,,,,,,
,24,90,8.491,32.62,764,265,,,,,,,,,,,,,,,
TSSR12211V009,1,91.4,7.511,33.43,687,"1,338",274.2,"1,300",460,1st,14,13.89,7.99,7.06,6.66,0.483,1.2,6.32,5.88,79%,20
,2,90,7.776,30.43,700,"1,316",,,,2nd-1,46,,8.01,,6.82,0.479,,6.34,5.77,79%,23
,3,90.7,7.884,33.16,715,"1,354",274.2,"1,302",460,2nd-2,52,,8.08,,7.05,0.479,,6.23,6.13,77%,40
,4,90,8.358,31.17,752,"1,322",,,,3rd,78,,8.47,,7.22,0.499,,6.75,6.52,80%,
,5,90.5,7.831,33.18,709,"1,350",274,"1,320",460,4th,102,,8.47,,7.54,0.494,,6.49,6.21,77%,
,6,90.5,7.796,32.07,706,"1,321",,,,5th,122,,8.41,,7.6,0.482,,6.51,6.28,77%,
,7,90.7,7.941,30.32,720,"1,336",274.2,"1,355",465,,,,,,,,,,,,
,8,89.7,8.482,33.82,761,"1,313",,,,,,,,,,,,,,,
,9,90.7,7.637,33.7,693,"1,335",274,"1,334",465,,,,,,,,,,,,
,10,90,7.753,32.55,697,"1,310",,,,,,,,,,,,,,,
,11,91.5,7.529,36.45,689,"1,353",274.2,"1,300",465,,,,,,,,,,,,
,12,90,7.631,33.21,687,"1,324",,,,,,,,,,,,,,,
,13,91,8.716,36.03,793,"1,354",274.1,"1,356",465,,,,,,,,,,,,
,14,89.5,8.243,31.97,738,"1,326",,,,,,,,,,,,,,,
,15,91,7.977,36.18,726,"1,360",274.1,"1,377",465,,,,,,,,,,,,
,16,89.5,8.718,34.1,780,"1,330",,,,,,,,,,,,,,,
,17,91.5,8.449,34.68,773,"1,347",274.2,"1,380",455,,,,,,,,,,,,
,18,90,8.098,30.03,729,"1,318",,,,,,,,,,,,,,,
,19,91,8.412,32.09,766,"1,352",274.3,"1,370",455,,,,,,,,,,,,
,20,90,8.399,30.14,756,"1,328",,,,,,,,,,,,,,,
,21,91,7.668,27.88,697,"1,353",274.2,"1,385",455,,,,,,,,,,,,
,22,90,8.269,31.62,744,"1,326",,,,,,,,,,,,,,,
TSSR12211V010,1,91,8.563,35.35,779,"1,350",274.1,"1,367",460,1st-1,2,13.86,8.23,7.85,7.34,0.483,1.28,6.83,6.67,83%,39
,2,90,8.2,32.47,738,"1,319",,,,1st-2,22,,8.29,,7.58,0.493,,6.6,6.37,80%,34
,3,91.4,8.132,33.43,743,"1,355",274.2,"1,387",460,1st-3,24,,8.22,,6.61,0.491,,6.37,6.09,77%,46
,4,90,8.158,31.05,734,"1,326",,,,2nd,50,,8.34,,7.23,0.496,,6.5,6.11,78%,
,5,91,7.693,32.64,700,"1,362",274.3,"1,390",460,3rd-1,60,,8.36,,7.51,0.488,,6.43,6.31,77%,
,6,90,8.024,35.01,722,"1,329",,,,3rd-2,78,,8.09,,6.59,0.469,,6.49,6.2,80%,
,7,91,9.147,36.53,832,804,274.2,"1,396",460,4th-1,102,,8.03,,6.96,0.478,,6.67,6.57,83%,
,8,89,8.044,26.37,716,451,,,,4th-2,124,,7.96,,6.91,0.48,,6.44,6.26,81%,
,9,90.5,8.44,33.24,764,"1,336",274.2,"1,400",470,5th,126,,8.31,,7.22,0.484,,6.48,6.25,78%,
,10,89.5,8.069,30.85,722,"1,310",,,,,,,,,,,,,,,
,11,90,8.018,29.76,722,"1,334",274.5,"1,430",470,,,,,,,,,,,,
,12,89.5,8.047,30.55,720,"1,310",,,,,,,,,,,,,,,
,13,90.5,8.573,31.43,775,"1,325",274.3,"1,441",470,,,,,,,,,,,,
,14,90,7.793,31.17,701,"1,291",,,,,,,,,,,,,,,
,15,91,8.05,33.45,733,"1,343",274,"1,450",470,,,,,,,,,,,,
,16,90,8.229,31.57,741,"1,298",,,,,,,,,,,,,,,
,17,91.5,8.108,37.74,742,"1,339",274.2,"1,455",470,,,,,,,,,,,,
,18,90,7.548,32.43,679,"1,314",,,,,,,,,,,,,,,
,19,91.5,7.715,35.95,706,"1,349",274.2,"1,450",475,,,,,,,,,,,,
,20,89.7,7.531,35.51,676,"1,324",,,,,,,,,,,,,,,
,21,91,8.072,35.64,735,"1,359",274,"1,463",475,,,,,,,,,,,,
,22,90,8.285,38.18,746,"1,323",,,,,,,,,,,,,,,
,23,91.2,8.241,36.88,752,"1,246",274,"1,460",475,,,,,,,,,,,,
,24,89.7,7.774,34.33,697,"1,210",,,,,,,,,,,,,,,
