Lot NO,Melt No,Melt Denier,Melt g/den,Melt (%),Melt (gf),Melt Weight(g),Melt temp,Pack Press (psi),"1 G/R Speed
(mpm)","Batch
No.","Spool
No.",Coating Straight,"Coating
EP","Coating
USP","Coating
Knot security","Coating
Diameter","Coating
Tie-down",Fast 1W Avg,Fast 1W Min ,Fast 1W %,Moisture
,20,91.5,7.9,30.47,723,"1,346",262.4,977,445,,,,,,,,,,,,
,21,91,7.628,30.03,694,"1,346",262.3,985,445,,,,,,,,,,,,
,22,91.5,7.77,30.63,711,"1,345",262.3,988,445,,,,,,,,,,,,
TSSR12201V011,1,90.1,8.253,32.76,743,"1,317",262.3,"1,088",465,1st,11,13.16,7.81,6.96,6.67,0.484,2.06,5.87,5.66,75%,85
,2,90.2,7.672,31.08,692,"1,333",262.4,"1,094",465,2nd,52,,8.44,,7.09,0.491,,6.23,5.86,74%,135
,3,90,7.749,32.65,697,"1,332",262.4,"1,085",465,3rd-1,64,,8.01,,6.71,0.479,,5.89,5.64,74%,
,4,90.5,7.675,32.17,694,"1,326",262.4,"1,091",465,3rd-2,89,,8.09,,6.5,0.477,,5.98,5.69,74%,
,5,90.1,8.042,31.04,725,"1,323",262.5,"1,104",465,4th,114,,8.16,,6.3,0.484,,6.1,5.86,75%,
,6,90.5,7.852,33.07,711,"1,325",262.4,"1,100",465,5th,129,,8.22,,6.42,0.491,,6.04,5.9,73%,
,7,91,7.595,33.12,692,"1,258",262.4,"1,092",465,,,,,,,,,,,,
,8,90,7.932,33.36,714,"1,333",262.4,"1,120",465,,,,,,,,,,,,
,9,90.5,7.576,31.58,686,"1,328",262.2,"1,126",465,,,,,,,,,,,,
,10,90.5,7.55,32.01,683,"1,324",262.2,"1,138",465,,,,,,,,,,,,
,11,91,7.585,30.49,690,"1,316",262.2,"1,129",465,,,,,,,,,,,,
,12,90.5,7.715,31.92,699,"1,321",262.2,"1,135",460,,,,,,,,,,,,
,13,90.5,8.121,29.79,735,"1,312",262.2,"1,142",460,,,,,,,,,,,,
,14,90,7.759,29.17,699,"1,326",263,"1,137",460,,,,,,,,,,,,
,15,90,7.665,31.11,690,"1,315",263,"1,130",460,,,,,,,,,,,,
,16,90,7.829,30.63,704,"1,314",262.4,"1,157",460,,,,,,,,,,,,
,17,91,7.602,29.02,692,555,262.4,"1,177",460,,,,,,,,,,,,
,18,90,7.897,31.06,711,"1,343",262.2,"1,175",460,,,,,,,,,,,,
,19,90.5,7.727,28.02,699,"1,339",262.5,"1,170",460,,,,,,,,,,,,
,20,91,7.6,29.27,692,"1,337",262.4,"1,190",460,,,,,,,,,,,,
,21,90.5,7.717,31.13,699,"1,336",262.6,"1,182",460,,,,,,,,,,,,
,22,90.1,7.86,30.54,708,"1,339",262,"1,188",460,,,,,,,,,,,,
,23,91,7.782,30.15,708,"1,340",262.9,"1,127",450,,,,,,,,,,,,
,24,91,7.952,31.06,724,"1,114",262.9,"1,120",450,,,,,,,,,,,,
TSSR12202B001,1,91.8,7.706,32.2,707,583,265.8,983,470,1st,16,12.98,8.29,7.01,6.39,0.491,0.56,5.38,5.12,65%,98
,2,91,7.82,34.63,712,965,265.7,988,475,2nd,19,,7.84,,6.87,0.482,,5.76,5.63,73%,
,3,90.5,8.085,32.24,732,962,265.7,"1,012",475,,,,,,,,,,,,
,4,91,7.973,28.84,725,968,265.5,"1,018",475,,,,,,,,,,,,
,5,90.5,8.818,30.29,798,"1,155",265,"1,020",475,,,,,,,,,,,,
TSSR12202V001,1,90.5,7.587,33.34,687,494,263,963,475,1st,26,12.96,8.22,7.3,6.97,0.494,0.66,6.15,5.62,75%,59
,2,90.3,7.542,33.76,682,"1,317",262.3,"1,022",480,2nd-1,37,,8.06,,6.82,0.484,,6.04,5.65,75%,64
,3,90.5,8.313,33.05,752,"1,338",262.3,"1,060",480,2nd-2,59,,7.92,,5.9,0.484,,5.59,5.29,71%,60
,4,91,7.748,30.24,705,"1,338",262.7,"1,075",475,3rd,92,,8.03,,6.39,0.486,,6.27,5.77,78%,50
,5,91,7.937,32.25,723,"1,346",262.8,"1,079",475,4th,124,,7.82,,6.48,0.483,,5.82,5.6,74%,
